descricao;endereco;area;quartos;suites;wc;vagas;valor;condominio;wlink
Apartamento para venda com 57 metros quadrados com 2 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre Anchieta, 1965;['70'];[2];[];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS359000-id-2542150574/
Apartamento Duplex 100m² no Cristo Rei, 3 quartos, 2 vagas, 2 suítes, último andar...;Avenida Presidente Affonso Camargo, 955;['156'];[3];[2];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS380000-id-2537867877/
Apartamento de 109 metros quadrados no bairro Água Verde com 3 quartos;Travessa Lange;['169'];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-109m2-venda-RS580000-id-2427786525/
Apartamento mobiliado no Santa Cândida;-;[];[2];[0];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-49m2-venda-RS220900-id-2519796716/
OPORTUNIDADE! Apartamento para personalizar com vista espetacular e definitiva!;Rua Engenheiro Niepce da Silva, 144;[];[2];[2];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS830000-id-2539630890/
Apartamento de 3 quartos totalmente reformado na melhor quadra do Cabral;Avenida Anita Garibaldi, 336;['161'];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-109m2-venda-RS587000-id-2543765264/
Apartamento super espaçoso no melhor do centro de Curitiba - Paraná;Rua Visconde do Rio Branco, 1541;['189'];[4];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-178m2-venda-RS480000-id-2524549499/
Belíssimo apartamento a venda no Batel- Porteira fechada;Rua Coronel Dulcídio, 1255;[];[3];[3];[5];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-160m2-venda-RS1500000-id-2526497273/
Apartamento para venda com 156 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Francisco Rocha, 1777;['232'];[4];[2];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS850000-id-2546566617/
Apartamento para venda com 72 metros quadrados com 2 quartos em Ahú - Curitiba - Paraná;Rua Vereador Washington Mansur, 262;['103'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-72m2-venda-RS395000-id-2540601879/
Apartamento para venda com 33 metros quadrados com 1 quarto em Champagnat - Curitiba - Paraná;Rua Padre Giacomo Cusmano;['46'];[1];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-champagnat-bairros-curitiba-33m2-venda-RS350000-id-2510093350/
Apartamento para venda tem 162 metros quadrados em Água Verde - Curitiba - Paraná;Avenida Iguaçu, 2713;[];[3];[3];[5];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-162m2-venda-RS1780000-id-2524976562/
Apartamento para venda possui 195 metros quadrados com 3 quartos em Juvevê - Curitiba - Paraná;Rua Manoel Eufrásio, 955;['421'];[3];[1];[4];[4];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-195m2-venda-RS2290000-id-2538971980/
Apartamento de 65 metros quadrados no bairro Pinheirinho com 3 quartos;Rua Lothario Boutin;['75'];[3];[0];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pinheirinho-bairros-curitiba-com-garagem-65m2-venda-RS250000-id-2427761629/
Apartamento para venda possui 218 metros quadrados com 4 quartos em Cabral - Curitiba - Paraná;Avenida Munhoz da Rocha, 159;[];[4];[4];[5];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-cabral-bairros-curitiba-com-garagem-218m2-venda-RS763483-id-2540852990/
Apartamento para venda com 114 metros quadrados com 3 quartos em Ahú - Curitiba - Paraná;Rua Marechal Hermes, 1245;['135'];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-114m2-venda-RS830000-id-2538904892/
Garden Sevilha - Apartamento para venda com 3 quartos em Boa Vista - Curitiba - Paraná;Rua Jovino do Rosário, 1790;['102'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-70m2-venda-RS510000-id-2535249659/
Apartamento para Venda ou Locação contendo 148 m² com 3 Quartos em Curitiba/PR;Rua Estados Unidos, 1470;['206'];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-148m2-venda-RS580000-id-2522785182/
Sofisticação e espaços amplos em apartamento todo reformado.;Rua Sete de Abril;['186'];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-136m2-venda-RS985000-id-2501610271/
Apartamento Mobiliado de Porteira Fechada incluindo todos os móveis e eletrodomésticos no Ecoville;Rua Jeremias Maciel Perretto, 646;['106'];[3];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
Apartamento para venda com 123 metros quadrados com 2 quartos em Ecoville - Curitiba - Paraná;Rua Doutor Brasílio Vicente de Castro, 320;['183'];[2];[2];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-ecoville-bairros-curitiba-com-garagem-123m2-venda-RS729000-id-2533906480/
studio para venda possui 33 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Avenida Visconde de Guarapuava, 3806;['60'];[1];[1];[1];[0];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-33m2-venda-RS429000-id-2492423846/
Apartamento de 117 metros quadrados no bairro Cabral com 4 quartos;Rua Doutor Manoel Pedro, 366;[];[3];[3];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-117m2-venda-RS1050000-id-2427697835/
Apartamento para venda possui 88 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Sanito Rocha, 135;['118'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-88m2-venda-RS395000-id-2527428932/
Permuto por imóvel em São Paulo Apartamento para venda tem 132m² 4 dorm e 1 suite.;Rua Jerônimo Durski, 1533;[];[4];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-132m2-venda-RS680000-id-2488350712/
Apartamento para venda tem 48 metros quadrados com 2 quartos em Alto Boqueirão - Curitiba - Paraná;Rua Satyrio Ferreira da Costa, 101;[];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS160000-id-2501223635/
Apartamento para venda com 48 metros quadrados com 2 quartos em Sítio Cercado - Curitiba - Paraná;Rua Tijucas do Sul, 2057;['50'];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
OPORTUNIDADE - AP - 150 m², com 4 quartos em Alto da Glória - Curitiba - Paraná;Rua Campos Sales, 220;['250'];[4];[1];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Linda cobertura duplex, na melhor localidade do Bacacheri.;Rua Gago Coutinho, 45;['250'];[3];[3];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-140m2-venda-RS890000-id-2521551274/
Apartamento para venda com 67 metros quadrados com 3 quartos em Novo Mundo - Curitiba - Paraná;Rua Mário Chalbaud Biscaia, 782;['115'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento para venda possui 92 metros quadrados com 3 quartos;Rua Paraguassu, 570;['113'];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-92m2-venda-RS759000-id-2530685808/
Apartamento para venda com 31 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Rua Mariano Torres, 958;[];[1];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-31m2-venda-RS136000-id-2546062775/
Apartamento para venda possui 66 metros quadrados com 3 quartos em São Braz - Curitiba - Paraná;Rua Ângelo Massignan, 820;['110'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-sao-braz-bairros-curitiba-com-garagem-66m2-venda-RS351000-id-2547364987/
Apto Reformado, último andar, Ensolarado, Ventilado, Vista garantida;Rua Prefeito João Moreira Garcez;[];[2];[1];[2];[];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-centro-bairros-curitiba-67m2-venda-RS388000-id-2539387283/
Apartamento para venda possui 94 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Monsenhor Manoel Vicente, 316;['168'];[3];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS680000-id-2540019474/
Apartamento para venda possui 133 metros quadrados com 4 quartos em Centro - Curitiba - Paraná;Rua João Negrão, 140;['154'];[4];[];[3];[];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Apartamento 3 quartos com móveis planejados quarto e cozinha;Rua Padre Agostinho, 2715;[];[3];[0];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-56m2-venda-RS330000-id-2497942673/
Amplo Apartamento - Garden no bairro Água Verde. Realmente parece uma casa!;Rua Guilherme Pugsley, 1551;[];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-311m2-venda-RS1200000-id-2547263551/
Apartamento para venda possui 100 metros quadrados com 3 quartos em Bacacheri - Curitiba - Paraná;Rua Nicarágua, 2181;['137'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-100m2-venda-RS510000-id-2539080886/
Apto pronto para morar com 73 m² com 3 quartos (1suite) no Portão - Curitiba - Paraná;Rua Morretes, 1174;[];[3];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-73m2-venda-RS498000-id-2472408476/
Apartamento para venda possui 179 metros quadrados com 4 quartos em Mossunguê - Curitiba - Paraná;Rua Monsenhor Ivo Zanlorenzi, 1850;['266'];[4];[2];[5];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-mossungue-bairros-curitiba-com-garagem-179m2-venda-RS1530000-id-2539055897/
Apartamento para venda com 110 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre Anchieta, 1399;[];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-110m2-venda-RS625000-id-2545385308/
Ótimo apartamento no Caiua;Rua Vale dos Pássaros, 93;[];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
Apartamento para venda possui 904 metros quadrados com 5 quartos em Vila Izabel - Curitiba - Paraná;Rua Coronel Ottoni Maciel, 80;['645'];[5];[4];[7];[4];-;-;https://www.vivareal.com.br//imovel/apartamento-5-quartos-vila-izabel-bairros-curitiba-com-garagem-904m2-venda-RS3350000-id-2528944603/
Apartamento para venda tem 59 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Alberto Potier, 456;['75'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento de 100 metros quadrados no bairro Alto da Glória com 3 quartos;Rua Barão de Guaraúna;['140'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-100m2-venda-RS750000-id-2429961025/
4 vagas de garagem, 3 suítes, 132 m2, a poucos metros da Justiça Federal no Ahú - Curitiba-PR;Rua Fausto Nascimento Bittencourt, 162;['231'];[3];[3];[5];[4];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-132m2-venda-RS1799000-id-2501098374/
Apartamento para venda possui 86 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Schiller, 143;['137'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-86m2-venda-RS420000-id-2536276604/
2 quartos e perto do Shopping;Rua Professor Dario Veloso, 186;['93'];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-60m2-venda-RS298000-id-2510610643/
Apartamento para venda com 85 metros quadrados com 2 quartos em Alto da Rua XV - Curitiba - Paraná;Rua José de Alencar, 442;[];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento para venda tem 67 metros quadrados com 2 quartos em Centro - Curitiba - Paraná;Alameda Augusto Stellfeld, 1050;[];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-67m2-venda-RS570000-id-2543216221/
Apartamento para venda com 50 metros quadrados com 2 quartos em Campo Comprido - Curitiba - Paraná;Rua Renato Polatti, 3539;[];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-50m2-venda-RS219000-id-2523669135/
Apartamento para venda possui 79 metros quadrados com 2 quartos;Rua Hildebrando de Araújo, 180;[];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jardim-botanico-bairros-curitiba-com-garagem-79m2-venda-RS399000-id-2534373195/
Apartamento para venda possui 934 metros quadrados com 3 quartos em Centro - Curitiba - Paraná;Rua Riachuelo, 300;[];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-93m2-venda-RS280000-id-2545469534/
Apartamento para venda tem 44 m2 privativos com 2 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal Carvalho, 190;['46'];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-fazendinha-bairros-curitiba-com-garagem-44m2-venda-RS185500-id-2531822386/
Apartamento com Suíte no Condomínio Clube Ilhas Do Caribe - Vista Alegre - Curitiba/PR;Rua Jacob Wellner, 112;[];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vista-alegre-bairros-curitiba-com-garagem-64m2-venda-RS380000-id-2540348786/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Brigadeiro Franco, 3204;['114'];[3];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-89m2-venda-RS1250000-id-2521778077/
Amplo Apto 3 Quartos melhor localização;Rua Martim Afonso, 1900;['177'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-126m2-venda-RS465000-id-2524811083/
Imperdível Apto 3dorm c/ garagem CENTRO;Rua Doutor Pedro Augusto Menna Barreto Monclaro, 630;['130'];[3];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-113m2-venda-RS270000-id-2543462480/
Apartamento para venda com 75 metros quadrados com 2 quartos em Jardim Botânico - Curitiba - Paraná;Rua Hildebrando de Araújo, 298;['120'];[2];[0];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jardim-botanico-bairros-curitiba-com-garagem-75m2-venda-RS493314-id-2488882945/
Apartamento para venda com 82 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Leão Sallum, 526;[];[2];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-82m2-venda-RS750000-id-2517262807/
Apartamento para venda com 54 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Coronel Dulcídio, 1756;['67'];[2];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-54m2-venda-RS215000-id-2518442439/
Apartamento de 155 metros quadrados no bairro Juvevê com 4 quartos;Rua Marechal Mallet;['155'];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-155m2-venda-RS450000-id-2427747237/
Apartamento para venda possui 37 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Rua Vinte e Quatro de Maio, 411;[];[1];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-37m2-venda-RS235000-id-2536388107/
Apartamento de 158 metros quadrados no bairro Juvevê com 2 quartos;Rua Moyses Marcondes;['158'];[2];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-158m2-venda-RS700000-id-2427452458/
Apartamento para venda com 53 metros quadrados com 2 quartos em Capão Raso - Curitiba - Paraná;Rua Francisco Raitani;[];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-53m2-venda-RS350000-id-2531047980/
Apartamento 1 Quarto | 50 m² total e 40 m² úteis | Centro - Curitiba;Rua Vinte e Quatro de Maio, 379;['50'];[1];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-40m2-venda-RS210000-id-2519518957/
Apartamento para venda possui 5000 metros quadrados com 4 quartos em Boa Vista - Curitiba - Paraná;Rua Vicente Geronasso, 1561;['174932'];[4];[1];[3];[4];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-boa-vista-bairros-curitiba-com-garagem-5000m2-venda-RS1250000-id-2511835096/
Apartamento de 66 metros quadrados no bairro Cristo Rei com 2 quartos;Rua Sanito Rocha;['101'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-66m2-venda-RS448000-id-2427692269/
Apartamento para venda tem 46metros quadrados com 2 quartos em Tatuquara - Curitiba - Paraná;Avenida Pero Vaz de Caminha, 471;[];[2];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-tatuquara-bairros-curitiba-com-garagem-46m2-venda-RS130000-id-2531115577/
Apartamento para venda com 51 metros quadrados com 3 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal Carvalho, 190;['70'];[3];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-51m2-venda-RS250000-id-2468277694/
Apartamento de 94 metros quadrados no bairro Água Verde com 2 quartos;Rua Palmeiras, 582;['160'];[2];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS740000-id-2427704109/
Apartamento para venda possui 157 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Alferes Ângelo Sampaio, 1000;[];[3];[3];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-157m2-venda-RS1550000-id-2489471481/
Apartamento para venda possui 96 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Nestor Victor, 750;['103'];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS550000-id-2523939706/
Apartamento para venda mobiliado - Residencial Anoara- tem 99 metros quadrados com 3 quartos;Rua Afonso Piotto, 99;[];[3];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-78m2-venda-RS270000-id-2490155194/
